date,order_id,region,product,category,units,revenue
2025-10-01,ORD-00019,Western,Kids’ Backpack,Apparel,2,7800
2025-10-03,ORD-00014,Western,Basmati Rice 5kg,Grocery,1,2880
2025-10-04,ORD-00006,Central,Ceylon Tea 400g,Grocery,5,7250
2025-10-05,ORD-00034,Central,Blender 600W,Home & Kitchen,1,9800
2025-10-05,ORD-00035,Western,Ceiling Fan,Home & Kitchen,2,33600
2025-10-06,ORD-00022,Western,Basmati Rice 5kg,Grocery,5,16000
2025-10-06,ORD-00029,Central,Smartphone X2,Electronics,2,178000
2025-10-09,ORD-00003,Southern,Ceylon Tea 400g,Grocery,6,8700
2025-10-09,ORD-00010,Southern,Basmati Rice 5kg,Grocery,5,16000
2025-10-10,ORD-00027,Western,Men’s Batik Shirt,Apparel,2,8100
2025-10-10,ORD-00037,Western,Smartphone X2,Electronics,1,89000
2025-10-11,ORD-00033,Western,Smart Watch,Electronics,1,38000
2025-10-13,ORD-00002,Central,School Shoes,Apparel,2,10400
2025-10-13,ORD-00020,Central,Men’s Batik Shirt,Apparel,2,9000
2025-10-13,ORD-00026,Western,Wireless Earbuds,Electronics,2,29000
2025-10-14,ORD-00005,Western,Basmati Rice 5kg,Grocery,5,16000
2025-10-14,ORD-00016,Western,Blender 600W,Home & Kitchen,2,19600
2025-10-15,ORD-00023,Central,Smart Watch,Electronics,2,76000
2025-10-17,ORD-00025,Northern,Basmati Rice 5kg,Grocery,5,16000
2025-10-18,ORD-00028,Northern,Wireless Earbuds,Electronics,1,14500
2025-10-19,ORD-00018,Western,Ceylon Tea 400g,Grocery,1,1450
2025-10-20,ORD-00008,Central,Laptop Pro 14,Electronics,2,490000
2025-10-20,ORD-00021,Central,School Shoes,Apparel,1,5200
2025-10-21,ORD-00017,Western,Wireless Earbuds,Electronics,1,14500
2025-10-25,ORD-00001,Northern,Rice Cooker,Home & Kitchen,1,12500
2025-10-25,ORD-00012,Western,School Shoes,Apparel,2,10400
2025-10-25,ORD-00036,Central,Smart Watch,Electronics,2,76000
2025-10-26,ORD-00004,Southern,Men’s Batik Shirt,Apparel,2,9000
2025-10-26,ORD-00007,Western,Ceiling Fan,Home & Kitchen,2,30240
2025-10-26,ORD-00015,Western,Smartphone X2,Electronics,2,178000
2025-10-26,ORD-00031,Southern,Coconut Oil 1L,Grocery,4,4400
2025-10-27,ORD-00009,Western,Cotton Saree,Apparel,2,15600
2025-10-27,ORD-00024,Central,Blender 600W,Home & Kitchen,1,9800
2025-10-28,ORD-00013,Northern,Kids’ Backpack,Apparel,2,7800
2025-10-28,ORD-00030,Western,Basmati Rice 5kg,Grocery,3,9600
2025-10-28,ORD-00038,Southern,School Shoes,Apparel,1,4680
2025-10-30,ORD-00011,Western,Coconut Oil 1L,Grocery,3,3300
2025-10-31,ORD-00032,Southern,Kids’ Backpack,Apparel,1,3510
2025-11-01,ORD-00071,Western,Basmati Rice 5kg,Grocery,5,16000
2025-11-02,ORD-00057,Western,Kids’ Backpack,Apparel,2,7800
2025-11-03,ORD-00076,Northern,Wireless Earbuds,Electronics,2,29000
2025-11-05,ORD-00050,Northern,Water Filter,Home & Kitchen,1,22000
2025-11-06,ORD-00059,Western,Rice Cooker,Home & Kitchen,1,11250
2025-11-07,ORD-00041,Southern,Basmati Rice 5kg,Grocery,2,6400
2025-11-07,ORD-00049,Western,Ceylon Tea 400g,Grocery,2,2900
2025-11-07,ORD-00061,Central,Basmati Rice 5kg,Grocery,1,3200
2025-11-07,ORD-00073,Western,Water Filter,Home & Kitchen,2,44000
2025-11-08,ORD-00053,Western,Wireless Earbuds,Electronics,2,26100
2025-11-08,ORD-00080,Northern,Coconut Oil 1L,Grocery,5,5500
2025-11-11,ORD-00052,Southern,Smartphone X2,Electronics,2,160200
2025-11-13,ORD-00048,Southern,Ceylon Tea 400g,Grocery,3,3915
